id,job_type,label,unit,price_min_unit_ht,price_avg_unit_ht,price_max_unit_ht,fixed_min_ht,fixed_avg_ht,fixed_max_ht,variability_ratio,confidence,sample_size,source,notes,room_specific,required_room,generic_family
831,alarme_intrusion_installation,Alarme intrusion (fourni+posé),unite,1200.00,2200.00,4000.00,0.00,0.00,0.00,null,null,0,seed_manual,Hors abonnement télésurveillance,false,null,alarme_intrusion_installation
426,pose_alarme_maison,Alarme maison (pose),forfait,0.00,0.00,0.00,292.00,450.00,608.00,null,null,0,seed_manual,Estimation,false,null,pose_alarme_maison
253,alarme_piscine,Alarme piscine (fourni+posé),forfait,0.00,0.00,0.00,422.00,650.00,878.00,null,null,0,seed_manual,NF P90-307,false,null,alarme_piscine
874,allée_béton_décoratif,Allée béton décoratif (fourni+posé),m2,55.00,90.00,145.00,0.00,0.00,0.00,null,null,0,seed_manual,Imprimé ou brossé,false,null,allée_béton_décoratif
947,enrobe_cle_en_main,Allée enrobée clé en main (terrassement + pose),m2,60.00,90.00,140.00,400.00,800.00,1500.00,null,null,0,seed_manual,Décaissement + grave + enrobé 6 cm,false,null,enrobe_cle_en_main
873,allée_gravillons,Allée gravillons stabilisés (fourni+posé),m2,15.00,28.00,45.00,0.00,0.00,0.00,null,null,0,seed_manual,Ep. 10 cm,false,null,allée_gravillons
714,amenagement_combles_habitables,Aménagement combles perdus → habitables,m2,600.00,1050.00,1900.00,0.00,0.00,0.00,null,null,0,seed_manual,Surface créée,true,"[""combles""]",amenagement
790,amenagement_cuisine_complet,Aménagement cuisine complète (hors électroménager),m2,400.00,700.00,1200.00,0.00,0.00,0.00,null,null,0,seed_manual,Sur mesure,true,"[""cuisine""]",amenagement
147,placard_amenagement,Aménagement placard (simple),forfait,0.00,0.00,0.00,250.00,650.00,1400.00,null,null,0,seed_manual,Étagères/tringles,false,null,placard_amenagement
718,amenagement_sous_sol,Aménagement sous-sol existant,m2,600.00,1150.00,1900.00,0.00,0.00,0.00,null,null,0,seed_manual,Surface créée,true,"[""cave""]",amenagement
649,micro_ciment_sol,Application micro-ciment sol,m2,50.00,82.00,135.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,micro_ciment_sol
310,arrosage_automatique,Arrosage automatique (installation),m2,6.00,12.00,18.00,0.00,0.00,0.00,null,null,0,seed_manual,Selon réseau,false,null,arrosage_automatique
5,audit_energetique,Audit énergétique RGE,forfait,0.00,0.00,0.00,500.00,800.00,1200.00,null,null,0,seed_manual,RGE,false,null,audit_energetique
494,pose_baie_vitree_global,Baie vitrée (fourni+posé),unité,1820.00,2600.00,3380.00,0.00,0.00,0.00,null,null,0,seed_manual,null,false,null,pose_baie_vitree_global
510,baie_vitree_alu_fourniture_pose,Baie vitrée aluminium fourni+posé,unité,2000.00,3200.00,4500.00,0.00,0.00,0.00,null,null,0,seed_manual,"Châssis composé, largeur > 2m, rénovation",false,null,baie_vitree_alu_fourniture_pose
509,baie_vitree_pvc_fourniture_pose,Baie vitrée PVC fourni+posé,unité,1500.00,2300.00,3500.00,0.00,0.00,0.00,null,null,0,seed_manual,"Châssis composé, largeur > 2m, rénovation",false,null,baie_vitree_pvc_fourniture_pose
444,baignoire_fourniture_pose,Baignoire (fourni+posé),forfait,0.00,0.00,0.00,488.00,750.00,1013.00,null,null,0,seed_manual,Selon gamme,false,null,baignoire_fourniture_pose
765,baignoire_ilot_pose,Baignoire îlot (fourni+posé),unite,900.00,1600.00,3000.00,0.00,0.00,0.00,null,null,0,seed_manual,Hors évacuation,false,null,baignoire_ilot_pose
289,pompe_a_chaleur_eau_chaude_sanitaire,Ballon ECS — pose uniquement,forfait,0.00,0.00,0.00,422.00,650.00,878.00,null,null,0,seed_manual,Hors matériel,false,null,pompe_a_chaleur_eau_chaude_sanitaire
7,ballon_thermodynamique,Ballon thermodynamique,forfait,0.00,0.00,0.00,1600.00,2300.00,3200.00,null,null,0,seed_manual,RGE,false,null,ballon_thermodynamique
8,bandes_placo,Bandes + joints,m2,8.00,15.00,28.00,0.00,0.00,0.00,null,null,0,seed_manual,null,false,null,bandes_placo
502,pose_bande_joint_placo,Bandes/joints placo (MO),m2,10.00,15.00,20.00,0.00,0.00,0.00,null,null,0,seed_manual,null,false,null,pose_bande_joint_placo
592,bardage_bois_exterieur,Bardage bois extérieur (fourni+posé),m2,55.00,92.00,140.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,true,"[""exterieur""]",bardage_exterieur
593,bardage_composite_exterieur,Bardage composite extérieur (fourni+posé),m2,50.00,82.00,125.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,true,"[""exterieur""]",bardage_exterieur
969,bardage_hpl_haut_gamme,Bardage HPL haut de gamme (fourni+posé),m2,95.00,130.00,180.00,0.00,0.00,0.00,null,null,0,seed_manual,Type Trespa/Fundermax. Hors ossature.,false,null,bardage_exterieur
970,bardage_meleze_naturel,Bardage mélèze naturel (fourni+posé),m2,75.00,105.00,150.00,0.00,0.00,0.00,null,null,0,seed_manual,"Sans traitement, classe 3-4. Hors ossature.",false,null,bardage_exterieur
594,bardage_pvc_exterieur,Bardage PVC extérieur (fourni+posé),m2,35.00,56.00,88.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,true,"[""exterieur""]",bardage_pvc
254,barriere_piscine,Barrière piscine (fourni+posé),ml,104.00,160.00,216.00,0.00,0.00,0.00,null,null,0,seed_manual,Selon modèle,false,null,barriere_piscine
9,batterie_solaire,Batterie de stockage solaire,forfait,0.00,0.00,0.00,3500.00,6000.00,9500.00,null,null,0,seed_manual,RGE,false,null,batterie_solaire
491,batterie_solaire_pose,Batterie solaire — pose (MO),forfait,0.00,0.00,0.00,390.00,650.00,910.00,null,null,0,seed_manual,null,false,null,batterie_solaire_pose
915,benne_dechets_chantier,Benne à déchets chantier,unite,250.00,450.00,750.00,0.00,0.00,0.00,null,null,0,seed_manual,10 m³,false,null,benne_dechets_chantier
10,benne,Benne gravats,forfait,0.00,0.00,0.00,250.00,450.00,900.00,null,null,0,seed_manual,null,false,null,benne
380,pose_beton_cire,Béton ciré (application),m2,72.00,110.00,148.00,0.00,0.00,0.00,null,null,0,seed_manual,Estimation,false,null,pose_beton_cire
854,peinture_beton_cire_mur,Béton ciré mur (fourni+posé),m2,55.00,90.00,140.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,peinture_beton_cire_mur
634,beton_cire_murs,Béton ciré murs intérieurs,m2,50.00,82.00,135.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,beton_cire_murs
834,beton_cire_sol,Béton ciré sol (fourni+posé),m2,60.00,100.00,150.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,beton_cire_sol
673,beton_desactive_allee,Béton désactivé allée,m2,50.00,80.00,130.00,400.00,700.00,1500.00,null,null,0,seed_manual,Finition gravier lavé / expo,false,null,beton_desactive_allee
644,bibliotheque_bois_mesure,Bibliothèque boiserie sur mesure (MO),ml,200.00,400.00,750.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,bibliotheque_bois_mesure
11,blindage_porte,Blindage porte (pose),forfait,0.00,0.00,0.00,900.00,1800.00,3500.00,null,null,0,seed_manual,Selon modèle,false,null,blindage_porte
882,bloc_porte_pose,Bloc-porte bâti+paumelles+serrure (fourni+posé),unite,500.00,900.00,1700.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,bloc_porte_pose
856,boiserie_moulure_pose,Boiseries / moulures déco (fourni+posé),ml,20.00,38.00,65.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,boiserie_moulure_pose
12,borne_recharge_irve,Borne de recharge électrique IRVE,forfait,0.00,0.00,0.00,900.00,1400.00,2200.00,null,null,0,seed_manual,RGE,false,null,borne_recharge_irve
827,borne_recharge_vehicule,Borne de recharge véhicule électrique (fourni+posé),unite,800.00,1400.00,2500.00,0.00,0.00,0.00,null,null,0,seed_manual,Hors renforcement coupure,false,null,borne_recharge_vehicule
830,cablage_reseau_ethernet,Câblage réseau ethernet (fourni+posé),ml,12.00,22.00,35.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,cablage_reseau_ethernet
601,calorifugeage_ballon,Calorifugeage réservoir eau chaude,forfait,0.00,0.00,0.00,150.00,290.00,520.00,null,null,0,seed_manual,Base,false,null,calorifugeage_ballon
602,calorifugeage_tuyaux,Calorifugeage tuyauterie chauffage,ml,8.00,15.00,26.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,calorifugeage_tuyaux
427,pose_camera_surveillance,Caméra surveillance (pose),unité,117.00,180.00,243.00,0.00,0.00,0.00,null,null,0,seed_manual,Estimation,false,null,pose_camera_surveillance
682,caniveau_grille_pose,Caniveau avec grille de drainage (fourni+posé),ml,30.00,58.00,95.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,caniveau_grille_pose
965,geothermie_capteurs_horizontaux,Capteurs géothermiques horizontaux (nappe),forfait,0.00,0.00,0.00,3500.00,6000.00,9000.00,null,null,0,seed_manual,Surface terrain ~1.5-2× SHAB. Hors PAC.,false,null,null
964,geothermie_capteurs_verticaux,Capteurs géothermiques verticaux (forage),ml,90.00,140.00,200.00,0.00,0.00,0.00,null,null,0,seed_manual,Hors PAC et raccordement. RGE QualiForage.,false,null,null
398,abri_voiture_carport_global,Carport (fourni+posé),forfait,0.00,0.00,0.00,2080.00,3200.00,4320.00,null,null,0,seed_manual,Estimation,false,null,abri_voiture_carport_global
788,carrelage_cuisine_sol,Carrelage cuisine sol (fourni+posé),m2,35.00,60.00,95.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,true,"[""cuisine""]",carrelage
839,carrelage_exterieur_antiderapant,Carrelage extérieur antidérapant (fourni+posé),m2,40.00,70.00,110.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,true,"[""exterieur""]",carrelage
321,carrelage_premium_fourni_pose,Carrelage premium (fourni+posé),m2,61.00,94.00,128.00,0.00,0.00,0.00,null,null,0,seed_manual,premium,false,null,carrelage_premium_fourni_pose
434,pose_carrelage_sol_global_30m2,Carrelage sol 30m² (MO),forfait,0.00,0.00,0.00,1072.00,1650.00,2228.00,null,null,0,seed_manual,Estimation,false,null,pose_carrelage_sol_global_30m2
319,carrelage_standard_fourni_pose,Carrelage standard (fourni+posé),m2,46.00,70.00,94.00,0.00,0.00,0.00,null,null,0,seed_manual,standard,false,null,carrelage_standard_fourni_pose
405,plomberie_changement_ballon,Changement ballon (MO),forfait,0.00,0.00,0.00,358.00,550.00,742.00,null,null,0,seed_manual,Estimation,false,null,plomberie_changement_ballon
406,plomberie_changement_chauffe_eau_gaz,Changement chauffe-eau gaz (MO),forfait,0.00,0.00,0.00,422.00,650.00,878.00,null,null,0,seed_manual,Estimation,false,null,plomberie_changement_chauffe_eau_gaz
18,changement_cylindre,Changement cylindre,unité,60.00,120.00,220.00,0.00,0.00,0.00,null,null,0,seed_manual,Hors cylindre haut sécu,false,null,changement_cylindre
465,piscine_sable_filtre,Changement sable filtre,forfait,0.00,0.00,0.00,121.00,220.00,319.00,null,null,0,seed_manual,null,false,null,piscine_sable_filtre
19,chape,Chape,m2,18.00,35.00,65.00,0.00,0.00,0.00,null,null,0,seed_manual,null,false,null,chape
742,charpente_fermette,Charpente fermette industrielle (fourni+posé),m2,35.00,55.00,80.00,0.00,0.00,0.00,null,null,0,seed_manual,Emprise toit,false,null,charpente_fermette
537,charpente_industrielle_fermettes,Charpente industrielle fermettes,m2,35.00,60.00,92.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,charpente_industrielle_fermettes
536,charpente_traditionnelle,Charpente traditionnelle (neuf),m2,55.00,90.00,135.00,0.00,0.00,0.00,null,null,0,seed_manual,Surface au sol,false,null,charpente_traditionnelle
511,chassis_compose_pvc_fourniture_pose,Châssis composé PVC fourni+posé,unité,1600.00,2400.00,3200.00,0.00,0.00,0.00,null,null,0,seed_manual,"Multi-éléments (fixe+ouvrant), grande dimension, rénovation",false,null,chassis_compose_pvc_fourniture_pose
20,chaudiere_biomasse,Chaudière biomasse / granulés,forfait,0.00,0.00,0.00,9000.00,13000.00,18000.00,null,null,0,seed_manual,RGE,false,null,chaudiere_biomasse
21,chaudiere_gaz,Chaudière gaz,forfait,0.00,0.00,0.00,3500.00,6000.00,9000.00,null,null,0,seed_manual,null,false,null,chaudiere_gaz
807,chaudiere_gaz_condensation,Chaudière gaz condensation (fourni+posé),unite,1800.00,3000.00,5000.00,0.00,0.00,0.00,null,null,0,seed_manual,Hors raccordements gaz,false,null,chaudiere_gaz_condensation
24,chauffe_eau_thermodynamique,Chauffe-eau thermodynamique,forfait,0.00,0.00,0.00,1800.00,2500.00,3500.00,null,null,0,seed_manual,RGE,false,null,chauffe_eau_thermodynamique
736,chéneau_zinc,Chéneau zinc (fourni+posé),ml,45.00,70.00,100.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,chéneau_zinc
336,pose_clim_bisplit_chantier_difficile,Climatisation bi-split (chantier difficile),forfait,0.00,0.00,0.00,1859.00,2860.00,3861.00,null,null,0,seed_manual,Estimation,false,null,pose_clim_bisplit_chantier_difficile
334,pose_clim_bisplit_complexe,Climatisation bi-split (complexe),forfait,0.00,0.00,0.00,1788.00,2750.00,3713.00,null,null,0,seed_manual,Estimation,false,null,pose_clim_bisplit_complexe
333,pose_clim_bisplit_standard,Climatisation bi-split (standard),forfait,0.00,0.00,0.00,1430.00,2200.00,2970.00,null,null,0,seed_manual,Estimation,false,null,pose_clim_bisplit_standard
335,pose_clim_bisplit_urgence,Climatisation bi-split (urgence),forfait,0.00,0.00,0.00,1930.00,2970.00,4010.00,null,null,0,seed_manual,Estimation,false,null,pose_clim_bisplit_urgence
473,clim_gainable,Climatisation gainable (pose comprise),forfait,0.00,0.00,0.00,5525.00,8500.00,11475.00,null,null,0,seed_manual,null,false,null,clim_gainable
955,clim_multisplit,Climatisation multi-split (par unité intérieure),unité,1200.00,1900.00,3200.00,800.00,1200.00,2200.00,null,null,0,seed_manual,Prix par unité int. + forfait unité ext.,false,null,clim_multisplit
25,clim,"Climatisation split (mono-split, fourni+posé)",forfait,0.00,0.00,0.00,900.00,1600.00,2800.00,null,null,0,seed_manual,Mono-split 1 unité int. + 1 unité ext.,false,null,clim
340,pose_clim_trisplit_chantier_difficile,Climatisation tri-split (chantier difficile),forfait,0.00,0.00,0.00,2704.00,4160.00,5616.00,null,null,0,seed_manual,Estimation,false,null,pose_clim_trisplit_chantier_difficile
338,pose_clim_trisplit_complexe,Climatisation tri-split (complexe),forfait,0.00,0.00,0.00,2600.00,4000.00,5400.00,null,null,0,seed_manual,Estimation,false,null,pose_clim_trisplit_complexe
337,pose_clim_trisplit_standard,Climatisation tri-split (standard),forfait,0.00,0.00,0.00,2080.00,3200.00,4320.00,null,null,0,seed_manual,Estimation,false,null,pose_clim_trisplit_standard
339,pose_clim_trisplit_urgence,Climatisation tri-split (urgence),forfait,0.00,0.00,0.00,2808.00,4320.00,5832.00,null,null,0,seed_manual,Estimation,false,null,pose_clim_trisplit_urgence
360,pose_cloison_amovible_chantier_difficile,Cloison amovible (chantier difficile),m2,80.00,124.00,167.00,0.00,0.00,0.00,null,null,0,seed_manual,Estimation,false,null,pose_cloison_amovible_chantier_difficile
358,pose_cloison_amovible_complexe,Cloison amovible (complexe),m2,77.00,119.00,160.00,0.00,0.00,0.00,null,null,0,seed_manual,Estimation,false,null,pose_cloison_amovible_complexe
357,pose_cloison_amovible_standard,Cloison amovible (standard),m2,62.00,95.00,128.00,0.00,0.00,0.00,null,null,0,seed_manual,Estimation,false,null,pose_cloison_amovible_standard
359,pose_cloison_amovible_urgence,Cloison amovible (urgence),m2,83.00,128.00,173.00,0.00,0.00,0.00,null,null,0,seed_manual,Estimation,false,null,pose_cloison_amovible_urgence
26,cloison_placo,Cloison placo,m2,40.00,60.00,95.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,cloison_placo
884,cloison_placoplatre,Cloison plâtre BA13 (fourni+posé),m2,35.00,58.00,88.00,0.00,0.00,0.00,null,null,0,seed_manual,Inclus montants,false,null,cloison_placoplatre
667,cloture_alu_lames,Clôture aluminium lames (fourni+posé),ml,55.00,92.00,145.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,cloture_alu_lames
483,pose_cloture_beton,Clôture béton (pose),ml,91.00,140.00,189.00,0.00,0.00,0.00,null,null,0,seed_manual,null,false,null,pose_cloture_beton
666,cloture_bois_occultant,Clôture bois occultant (fourni+posé),ml,35.00,62.00,98.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,cloture_bois_occultant
869,cloture_bois_occultante,Clôture bois occultante (fourni+posé),ml,60.00,100.00,160.00,0.00,0.00,0.00,null,null,0,seed_manual,H=1.8m,false,null,cloture_bois_occultante
868,cloture_panneau_rigide,Clôture panneau rigide (fourni+posé),ml,55.00,90.00,140.00,0.00,0.00,0.00,null,null,0,seed_manual,H=1.5m,false,null,cloture_panneau_rigide
628,coffret_gtl_pose,Coffret GTL gaine technique logement,forfait,0.00,0.00,0.00,150.00,290.00,480.00,null,null,0,seed_manual,Base,false,null,coffret_gtl_pose
446,colonne_douche_fourniture_pose,Colonne de douche (fourni+posé),forfait,0.00,0.00,0.00,292.00,450.00,608.00,null,null,0,seed_manual,Selon gamme,false,null,colonne_douche_fourniture_pose
773,colonne_de_douche_hydromassante,Colonne de douche hydromassante (fourni+posé),unite,400.00,800.00,1800.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,colonne_de_douche_hydromassante
544,mur_parpaing_20_construction,Construction mur parpaing 20 cm (fourni+posé),m2,55.00,88.00,128.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,mur_parpaing_20_construction
255,couverture_barres_piscine,Couverture à barres (fourni+posé),forfait,0.00,0.00,0.00,1170.00,1800.00,2430.00,null,null,0,seed_manual,Selon dimensions,false,null,couverture_barres_piscine
527,couverture_ardoise_fibrociment,Couverture ardoise fibrociment (fourni+posé),m2,50.00,80.00,115.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,couverture_ardoise_fibrociment
526,couverture_ardoise_naturelle,Couverture ardoise naturelle (fourni+posé),m2,90.00,130.00,185.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,couverture_ardoise_naturelle
529,couverture_bac_acier,Couverture bac acier (fourni+posé),m2,35.00,60.00,95.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,couverture_bac_acier
540,couverture_shingle,Couverture shingle (bardeaux bitumés),m2,30.00,55.00,82.00,0.00,0.00,0.00,null,null,0,seed_manual,Toiture faible pente,false,null,couverture_shingle
525,couverture_tuile_beton,Couverture tuile béton (fourni+posé),m2,55.00,85.00,120.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,couverture_tuile_beton
524,couverture_tuile_terre_cuite,Couverture tuile terre cuite (fourni+posé),m2,70.00,100.00,140.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,couverture_tuile_terre_cuite
528,couverture_zinc_joint_debout,Couverture zinc joint debout (fourni+posé),m2,100.00,150.00,210.00,0.00,0.00,0.00,null,null,0,seed_manual,Zinc TL ou naturel,false,null,couverture_zinc_joint_debout
4,alimentation_exterieure,Création alimentation extérieure,unité,120.00,260.00,520.00,0.00,0.00,0.00,null,null,0,seed_manual,Jardin/garage,true,"[""exterieur""]",alimentation
30,creation_arrivee_eau,Création arrivée d'eau,point,60.00,130.00,280.00,0.00,0.00,0.00,null,null,0,seed_manual,Selon accès,false,null,creation_arrivee_eau
287,pose_douche_italienne,Création douche à l'italienne (MO),forfait,0.00,0.00,0.00,1625.00,2500.00,3375.00,null,null,0,seed_manual,Étanchéité incluse,false,null,pose_douche_italienne
559,douche_italienne_creation,Création douche italienne complète (maçonnerie+étanchéité+carrelage),forfait,0.00,0.00,0.00,1800.00,3200.00,5500.00,null,null,0,seed_manual,Base,false,null,douche_italienne_creation
568,douche_pmr_creation,Création douche PMR accessible,forfait,0.00,0.00,0.00,2500.00,4500.00,8500.00,null,null,0,seed_manual,Base,false,null,douche_pmr_creation
693,escalier_droit_bois_creation,Création escalier droit bois,forfait,0.00,0.00,0.00,2500.00,4800.00,8500.00,null,null,0,seed_manual,Base,false,null,escalier_droit_bois_creation
694,escalier_quart_tournant,Création escalier quart tournant,forfait,0.00,0.00,0.00,3500.00,6500.00,12500.00,null,null,0,seed_manual,Base,false,null,escalier_quart_tournant
31,creation_evacuation,Création évacuation,point,80.00,160.00,320.00,0.00,0.00,0.00,null,null,0,seed_manual,Selon pente,false,null,creation_evacuation
772,evacuation_sdb_création,Création évacuation SDB (déplacement siphon),unite,300.00,550.00,1000.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,true,"[""sdb""]",evacuation
32,creation_muret,Création muret,m2,60.00,110.00,200.00,0.00,0.00,0.00,null,null,0,seed_manual,Hors enduit,false,null,creation_muret
176,pose_niche_douche,Création niche de douche,unité,120.00,250.00,450.00,0.00,0.00,0.00,null,null,0,seed_manual,Étanchéité incluse si bien fait,false,null,pose_niche_douche
302,creation_ouverture_fenetre,Création ouverture fenêtre,forfait,0.00,0.00,0.00,1080.00,1800.00,2520.00,null,null,0,seed_manual,Selon structure,false,null,creation_ouverture_fenetre
760,ouverture_mur_porteur,Création ouverture mur porteur + IPN,unite,1200.00,2200.00,3800.00,0.00,0.00,0.00,null,null,0,seed_manual,Largeur ≤3m,false,null,ouverture_mur_porteur
911,creation_piece_supplementaire,Création pièce supplémentaire (cloison+porte),unite,1200.00,2500.00,5000.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,creation_piece_supplementaire
400,pose_puits_de_lumiere,Création puits de lumière,forfait,0.00,0.00,0.00,780.00,1200.00,1620.00,null,null,0,seed_manual,Estimation,false,null,pose_puits_de_lumiere
895,evacuation_plomberie_creation,Création réseau évacuation (fourni+posé),ml,45.00,80.00,130.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,evacuation_plomberie_creation
204,sdb_creation,Création salle de bain (MO globale),forfait,0.00,0.00,0.00,2500.00,5500.00,12000.00,null,null,0,seed_manual,"Hors fourniture, très variable",false,null,sdb_creation
782,credence_carrelage_cuisine,Crédence carrelage cuisine (fourni+posé),m2,50.00,85.00,140.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,true,"[""cuisine""]",credence_carrelage
783,credence_verre_laqué,Crédence verre laqué (fourni+posé),m2,90.00,150.00,250.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,credence_verre_laqué
655,cristallisation_marbre,Cristallisation / polissage marbre / pierre,m2,20.00,40.00,70.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,cristallisation_marbre
39,curage_sdb,Curage salle de bain,forfait,0.00,0.00,0.00,600.00,1200.00,2500.00,null,null,0,seed_manual,null,true,"[""sdb""]",curage
967,cuve_eau_pluie_aerienne,Cuve récupération eau de pluie aérienne 1000-3000L,forfait,0.00,0.00,0.00,400.00,1000.00,1800.00,null,null,0,seed_manual,"Pose simple, hors collecte gouttières.",false,null,null
966,cuve_eau_pluie_enterree,Cuve récupération eau de pluie enterrée 5000-10000L,forfait,0.00,0.00,0.00,3500.00,5500.00,8000.00,null,null,0,seed_manual,Inclut terrassement + pose. Hors filtration usage intérieur.,false,null,null
554,cuvelage_sous_sol,Cuvelage sous-sol (étanchéité intérieure),m2,70.00,112.00,165.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,true,"[""cave""]",cuvelage
547,dalle_beton_exterieure,Dalle béton armée extérieure,m2,40.00,62.00,95.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,true,"[""exterieur""]",dalle_beton
749,dalle_beton_ep12,Dalle béton épaisseur 12 cm (fourni+posé),m2,50.00,80.00,115.00,0.00,0.00,0.00,null,null,0,seed_manual,Hors terrassement,false,null,dalle_beton_ep12
952,dalle_beton_ext,Dalle béton extérieure,m2,35.00,60.00,100.00,300.00,600.00,1200.00,null,null,0,seed_manual,Dalle 10-15 cm armée treillis,false,null,dalle_beton_ext
300,dalle_beton_interieur,Dalle béton intérieur,m2,55.00,85.00,115.00,0.00,0.00,0.00,null,null,0,seed_manual,null,false,null,dalle_beton_interieur
558,dalle_beton_interieure,Dalle béton intérieure armée (ragréage épais),m2,32.00,52.00,80.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,dalle_beton_interieure
248,dalle_beton_plage_piscine,Dalle béton plage piscine,m2,39.00,65.00,91.00,0.00,0.00,0.00,null,null,0,seed_manual,Ép. à préciser,false,null,dalle_beton_plage_piscine
871,dalle_beton_terrasse_ext,Dalle béton terrasse extérieure (fourni+posé),m2,35.00,60.00,95.00,0.00,0.00,0.00,null,null,0,seed_manual,Ep. 10 cm,true,"[""exterieur""]",dalle_beton
674,dalle_pierre_naturelle_ext,Dalle pierre naturelle extérieure (fourni+posé),m2,65.00,108.00,172.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,dalle_pierre_naturelle_ext
40,debouchage,Débouchage canalisation,forfait,0.00,0.00,0.00,90.00,180.00,350.00,null,null,0,seed_manual,null,false,null,debouchage
640,decollement_papier_peint,Décollement papier peint,m2,6.00,12.00,22.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,false,null,decollement_papier_peint
910,demenagement_de_cuisine,Déménagement de cuisine (dépose+repose),unite,1500.00,3000.00,6000.00,0.00,0.00,0.00,null,null,0,seed_manual,Base,true,"[""cuisine""]",demenagement_de
41,demolition_cloison,Démolition cloison,m2,15.00,30.00,60.00,0.00,0.00,0.00,null,null,0,seed_manual,null,false,null,demolition_cloison
